NAME                                            STATUS    AGE
temporal-server-5b6d5575f5-x9jrq                Running   2026-02-10T17:34:58Z
temporal-ui-8f9bd7768-r2xzt                     Running   2026-02-16T21:37:08Z
worker-svc-645d4bb7bd-vxf5x                     Running   2026-02-19T14:38:58Z
verus-dev-neo4j-dev-app-54b94fd89b-mt9j5        Running   2026-02-19T18:12:26Z
verus-dev-auth-dev-84cbb7cbf7-4vkjg             Running   2026-02-22T09:01:49Z
verus-dev-catalog-svc-64f6dd6c5c-ffsdr          Running   2026-02-22T09:01:49Z
verus-knowledge-graph-5455c5d99b-n228f          Running   2026-02-22T09:03:45Z
verus-dev-web-gateway-dev-54c6b7f99d-z6qtk      Running   2026-02-22T09:15:20Z
verus-dev-neo4j-dev-db-74d459c45d-cnttq         Running   2026-02-22T09:15:25Z
verus-dev-auth-dev-59c4655dd-w87bd              Pending   2026-02-22T10:30:37Z
verus-dev-catalog-svc-599977cf6d-45857          Pending   2026-02-22T10:30:38Z
verus-dev-neo4j-dev-db-8696f6dd85-pswjr         Pending   2026-02-22T10:30:40Z
verus-dev-verus-frontend-dev-5ff7657547-444zk   Running   2026-02-22T10:30:40Z
verus-dev-web-gateway-dev-567b596cb8-ncjkm      Pending   2026-02-22T10:30:41Z
verus-knowledge-graph-6fbd9f9b45-2zxfp          Pending   2026-02-22T10:30:42Z
